Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author(s),Source,Abbreviated source title,Sponsor,Publisher/Repository,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider,,,,
Large-scale quantum emulating simulations of biomolecules: A pilot exploration of parallel quantum computing,2.02422E+13,生物大分子的量子计算模拟: 并行量子计算的初步探索,"Shang, Honghui (1); Fan, Yi (1); Liu, Jie (2); Yang, Jinlong (1, 2) ","(1) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Hefei; 230026, China (2) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China ","Yang, Jinlong(jlyang@ustc.edu.cn)",Kexue Tongbao/Chinese Science Bulletin,Kexue Tongbao/Chin. Sc. Bull.,,Chinese Academy of Sciences,69,15,1967-1969,2024-05-01,,,2024,Chinese,0023074X,20959419,,10.1360/TB-2024-0376,,,,,,,Journal article (JA),,8,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Rapidly Achieving Chemical Accuracy with Quantum Computing Enforced Language Model,20240214007,,"Shang, Honghui (1); Zeng, Xiongzhi (2); Gong, Ming (2, 3, 4); Wu, Yangju (1); Guo, Shaojun (2, 3, 4); Qian, Haoran (2, 3, 4); Zha, Chen (2, 3, 4); Fan, Zhijie (2, 3, 4); Yan, Kai (2, 3, 4); Zhu, Xiaobo (2, 3, 4); Li, Zhenyu (1, 4); Luo, Yi (2, 4); Pan, Jian-Wei (2, 3, 4); Yang, Jinlong (1, 4) ","(1) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Hefei; 230026, China (2) Hefei National Research Center for Physical Sciences, the Microscale, School of Physical Sciences, University of Science and Technology of China, Hefei; 230026, China (3) Shanghai Research Center for Quantum Science, CAS Center for Excellence in Quantum Information and Quantum Physics, University of Science and Technology of China, Shanghai; 201315, China (4) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China ","Li, Zhenyu(zyli@ustc.edu.cn); Luo, Yi(yiluo@ustc.edu.cn); Pan, Jian-Wei(pan@ustc.edu.cn); Yang, Jinlong(jlyang@ustc.edu.cn)",arXiv,arXiv,,arXiv,,,,2024-05-15,,,2024,English,,23318422,,10.48550/arXiv.2405.09164,,,,,,,Preprint (PP),"Finding accurate ground state energy of a many-body system has been a major challenge in quantum chemistry. The integration of classic and quantum computers has shed new light on resolving this outstanding problem. Here we propose QiankunNet-VQE, a transformer based language models enforced with quantum computing to learn and generate quantum states. It has been implemented using up to 12 qubits and attaining an accuracy level competitive with state-of-the-art classical methods. By leveraging both quantum and classical resources, this scheme overcomes the limitations of variational quantum eigensolver (VQE) without the need for cumbersome error mitigation. Moreover, QiankunNet-VQE provides a different route to achieve a practical quantum advantage for solving many-electron Schrödinger equation without requiring extremely precise preparation and measurement of the ground-state wavefunction on quantum computer. © 2024, CC BY.",53,Ground state,Computational linguistics - Quantum chemistry - Quantum optics - Qubits,Accuracy level - Eigensolvers - Ground-state energies - Language model - Learn+ - Many-body systems - Quanta computers - Quantum Computing - Quantum state - State of the art,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 741 Light, Optics and Optical Devices - 741.1 Light/Optics - 761 Nanotechnology - 801.4 Physical Chemistry - 931.4 Quantum Theory; Quantum Mechanics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Scalable and Differentiable Simulator for Quantum Computational Chemistry,2.02429E+13,,"Xu, Zhiqian (1); Shang, Honghui (2); Fan, Yi (2); Zeng, Xiongzhi (2); Zhang, Yunquan (1); Guo, Chu (3) ","(1) Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China (2) University of Science and Technology of China, Hefei, China (3) Hunan Normal University, Changsha, China ","Guo, Chu(guochu604b@gmail.com)","Proceedings - 2024 IEEE International Parallel and Distributed Processing Symposium, IPDPS 2024","Proc. - IEEE Int. Parallel Distrib. Process. Symp., IPDPS",TCPP,Institute of Electrical and Electronics Engineers Inc.,,,230-240,2024-01-01,"Proceedings - 2024 IEEE International Parallel and Distributed Processing Symposium, IPDPS 2024",1 of 1,2024,English,,,9.79835E+12,10.1109/IPDPS57955.2024.00028,,"38th IEEE International Parallel and Distributed Processing Symposium, IPDPS 2024","May 27, 2024 - May 31, 2024","San Francisco, CA, United states",200925,,Conference article (CA),"We develop a high-performance simulator for variational quantum eigensolver (VQE), the major innovations include: (1) A differentiable matrix product state (MPS) based VQE simulator that seamlessly integrates MPS into the automatic differentiation framework, which overcomes the exponential memory growth of state-vector simulator and can efficiently calculate gradients with a cost independent of the number of parameters; (2) A dynamic scheme to distribute the gradient calculations to achieve good load balance; (3) A parallel adaptive VQE which integrates our differentiable MPS simulator to further enhance the simulation performance; (4) Study of real chemical systems with convergence to chemical accuracy using our simulator, achieving nearly linearly strong and weak scaling for chemical systems with up to 100 qubits. Our simulator provides an ideal test ground for VQE and paves the way of benchmarking large-scale VQE experiments on near-term quantum computers. © 2024 IEEE.",45,Computational chemistry,Matrix algebra - Quantum theory - Qubits,Automatic differentiations - Chemical systems - Differentiable matrices - Eigensolvers - Exponentials - Matrix product state - Performance simulator - Quantum computational chemistry - State based - Variational quantum eigen-solv,"741 Light, Optics and Optical Devices - 761 Nanotechnology - 801 Chemistry - 921.1 Algebra - 921.6 Numerical Methods - 931.4 Quantum Theory; Quantum Mechanics","Number: T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 202201-00, Acronym: -, Sponsor: -; ","H.S. acknowledges support from the National Natural Science Foundation of China (Grant No. T2222026), C. G. is supported by the Open Research Fund from State Key Laboratory of High Performance Computing of China (Grant No. 202201-00).",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Quantum-centric high performance computing for quantum chemistry,2.02422E+13,,"Liu, Jie (1); Ma, Huan (1); Shang, Honghui (2); Li, Zhenyu (1, 2); Yang, Jinlong (1, 2) ","(1) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China (2) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Anhui, Hefei; 230026, China ","Liu, Jie(liujie86@ustc.edu.cn); Shang, Honghui(shanghui.ustc@gmail.com); Yang, Jinlong(jlyang@ustc.edu.cn)",Physical Chemistry Chemical Physics,Phys. Chem. Chem. Phys.,,Royal Society of Chemistry,26,22,15831-15843,2024-05-14,,,2024,English,14639076,,,10.1039/d4cp00436a,,,,,,PPCPFQ,Journal article (JA),"High performance computing (HPC) is renowned for its capacity to tackle complex problems. Meanwhile, quantum computing (QC) provides a potential way to accurately and efficiently solve quantum chemistry problems. The emerging field of quantum-centric high performance computing (QCHPC), which merges these two powerful technologies, is anticipated to enhance computational capabilities for solving challenging problems in quantum chemistry. The implementation of QCHPC for quantum chemistry requires interdisciplinary research and collaboration across multiple fields, including quantum chemistry, quantum physics, computer science and so on. This perspective provides an introduction to the quantum algorithms that are suitable for deployment in QCHPC, focusing on conceptual insights rather than technical details. Parallel strategies to implement these algorithms on quantum-centric supercomputers are discussed. We also summarize high performance quantum emulating simulators, which are considered a viable tool to explore QCHPC. We conclude with challenges and outlooks in this field. © 2024 The Royal Society of Chemistry.",134,Quantum chemistry,Computational chemistry - Quantum computers - Quantum theory - Supercomputers,Complex problems - Computational capability - Parallel strategies - Performance - Performance computing - Quantum algorithms - Quantum Computing - Quantum physics - Technical details,722 Computer Systems and Equipment - 722.4 Digital Computers and Systems - 801 Chemistry - 801.4 Physical Chemistry - 921.6 Numerical Methods - 931.4 Quantum Theory; Quantum Mechanics,"Number: 22073086,T2222026,21825302,22288201, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: WK2060000018, Acronym: -, Sponsor: Fundamental Research Funds for the Central Universities; Number: -, Acronym: -, Sponsor: Fundamental Research Funds for the Central Universities; Number: AHY090400, Acronym: -, Sponsor: -; Number: 2021ZD0303306, Acronym: -, Sponsor: -; ","This work was supported by the Innovation Program for Quantum Science and Technology (2021ZD0303306), the National Natural Science Foundation of China (22073086, 21825302, 22288201, and T2222026), Anhui Initiative in Quantum Information Technologies (AHY090400), and the Fundamental Research Funds for the Central Universities (WK2060000018).",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Efficient structural relaxation based on the random phase approximation: Applications to the water clusters,20240173432,,"Tahir, Muhammad N. (1); Shang, Honghui (2); Li, Jia (3); Ren, Xinguo (1) ","(1) Institute of Physics, Chinese Academy of Sciences, Beijing; 100190, China (2) University of Science and Technology of China, Hefei; 230026, China (3) Shenzhen Geim Graphene Center, Institute of Materials Research, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen; 518055, China ","Shang, Honghui(shh@ustc.edu.cn); Li, Jia(li.jia@sz.tsinghua.edu.cn); Ren, Xinguo(renxg@iphy.ac.cn)",arXiv,arXiv,,arXiv,,,,2024-04-16,,,2024,English,,23318422,,10.48550/arXiv.2404.10492,,,,,,,Preprint (PP),"We report an improved implementation for evaluating the analytical gradients of the random phase approximation (RPA) electron-correlation energy based on atomic orbitals and the localized resolution of identity scheme. The more efficient RPA force calculations allow us to relax structures of medium-size water clusters. Particular attention is paid to the structures and energy orderings of the low-energy isomers of (H2O)n clusters with n = 21, 22, and 25. It is found that the energy ordering of the low-energy isomers of these water clusters are rather sensitive to how their structures are determined. For the five low-energy isomers of (H2O)25, the RPA energy ordering based on the RPA geometries is quite different from that based on the geometries relaxed by lower-level theories, in contrast with the situation of small water clusters like the water hexamer. The standard RPA underbinds the water clusters, and this underbinding behavior gets more pronounced as the complete basis set (CBS) limit is approached. The renormalized single excitation (rSE) correction remedies this underbinding, giving rise to a noticeable overbinding behavior at finite basis sets. However, as the CBS limit is approached, RPA+rSE yields an accuracy for the binding energies that is comparable to the best available double hybrid functionals, as demonstrated for the WATER27 testset. © 2024, CC BY.",68,Binding energy,Approximation algorithms - Electric circuit breakers - Isomers - Quantum chemistry,Analytical gradients - Complete basis set limit - Electron correlation energy - Energy orderings - Energy-based - Lowest-energy isomers - Random phase approximations - Relaxation-based - Single excitation - Water cluster,801.4 Physical Chemistry - 804 Chemical Products Generally - 921 Mathematics,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
MPS-VQE: A variational quantum computational chemistry simulator with matrix product states,2.02337E+13,,"Xu, Zhiqian (1); Fan, Yi (2); Guo, Chu (3); Shang, Honghui (2) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (2) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Anhui, Hefei; 230026, China (3) Hunan Normal University, Hunan, Changsha; 410081, China ","Guo, Chu(guochu604b@gmail.com)",Computer Physics Communications,Comput Phys Commun,,Elsevier B.V.,294,,,2024-01-01,,,2024,English,104655,,,10.1016/j.cpc.2023.108897,108897,,,,,CPHCBZ,Journal article (JA),"Quantum computing is attracting more and more attention in material and biological science. In the noisy intermediate-scale quantum (NISQ) computing era, the variational quantum eigensolver (VQE) is expected as an effective method to solve quantum chemistry problems which has potential quantum advantage. Classically simulating quantum algorithms plays a critical role in algorithmic development and the validation of noisy quantum devices before large-scale, fully fault-tolerant quantum computers are developed. However, most existing simulators are based on the state vector or density matrix representation of the quantum state which is faced with the memory bottleneck due to the exponential growth of memory requirement as the number of qubits increases. In this work, we present a VQE simulator based on the matrix product states (MPS) method from quantum many-body physics, and a detailed study of our MPS-VQE simulator in quantum chemistry applications. The memory requirement of MPS-VQE grows only polynomially and we demonstrate that accurate results can be obtained despite the truncation of the smallest singular values during the algorithm. A distributed parallelization scheme is also presented for massively parallel computer systems, and different implementations of the parallelization scheme based on the Julia language are benchmarked which demonstrate the efficiency and scalability of our method. Our method could open a new avenue towards large-scale classical simulation of quantum computational chemistry. © 2023 Elsevier B.V.",53,Computational chemistry,Distributed computer systems - Matrix algebra - Quantum chemistry - Quantum optics - Scalability,Biological science - Eigensolvers - Large-scales - Material science - Matrix product state - Memory requirements - Parallel scalability - Quantum algorithms - Quantum Computing - Variational quantum eigensolv,722.4 Digital Computers and Systems - 741.1 Light/Optics - 801 Chemistry - 801.4 Physical Chemistry - 921.1 Algebra - 921.6 Numerical Methods - 931.4 Quantum Theory; Quantum Mechanics - 961 Systems Science,"Number: 11805279,22003073,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China under Grant No. T2222026 , No. 22003073 , and No. 11805279 .",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Advancing Nonadiabatic Molecular Dynamics Simulations for Solids: Achieving Supreme Accuracy and Efficiency with Machine Learning,20240345457,,"Zhang, Changwei (1); Zhong, Yang (1); Tao, Zhi-Guo (1); Qing, Xinming (2); Shang, Honghui (2); Lan, Zhenggang (3); Prezhdo, Oleg V. (4); Gong, Xin-Gao (1); Chu, Weibin (1); Xiang, Hongjun (1) ","(1) Key Laboratory of Computational Physical Sciences, Ministry of Education, Institute of Computational Physical Sciences, State Key Laboratory of Surface Physics, Department of Physics, Fudan University, Shanghai; 200433, China (2) Key Laboratory of Precision and Intelligent Chemistry, Hefei National Research Center for Physical Sciences at the Microscale, University of Science and Technology of China, Anhui, Hefei; 230026, China (3) Environmental Research Institute, Guangdong Provincial Key Laboratory of Chemical Pollution and Environmental Safety, MOE, Key Laboratory of Environmental Theoretical Chemistry, South China Normal University, Guangdong, Guangzhou; 510006, China (4) Department of Chemistry, Department of Physics & Astronomy, University of Southern California, Los Angeles; CA; 90089, United States ","Chu, Weibin(wbchu@fudan.edu.cn); Xiang, Hongjun(hxiang@fudan.edu.cn)",arXiv,arXiv,,arXiv,,,,2024-08-13,,,2024,English,,23318422,,10.48550/arXiv.2408.06654,,,,,,,Preprint (PP),"Non-adiabatic molecular dynamics (NAMD) simulations have become an indispensable tool for investigating excited-state dynamics in solids. In this work, we propose a general framework, N2AMD, which employs an E(3)-equivariant deep neural Hamiltonian to boost the accuracy and efficiency of NAMD simulations. The preservation of Euclidean symmetry of Hamiltonian enables N2AMD to achieve state-of-the-art performance. Distinct from conventional machine learning methods that predict key quantities in NAMD, N2AMD computes these quantities directly with a deep neural Hamiltonian, ensuring supreme accuracy, efficiency, and consistency. Furthermore, N2AMD demonstrates excellent generalizability and enables seamless integration with advanced NAMD techniques and infrastructures. Taking several extensively investigated semiconductors as the prototypical system, we successfully simulate carrier recombination in both pristine and defective systems at large scales where conventional NAMD often significantly underestimates or even qualitatively incorrectly predicts lifetimes. This framework not only boosts the efficiency and precision of NAMD simulations but also opens new avenues to advance materials research. © 2024, CC BY-NC-SA.",66,Carrier lifetime,Deep neural networks - Digital elevation model - Molecular modeling,Conventional machines - Dynamics simulation - Euclidean - Excited-state dynamics - Indispensable tools - Machine learning methods - Machine-learning - Nonadiabatic molecular dynamics - Seamless integration - State-of-the-art performance,1101 - 1101.2.1 - 1106.2 - 1106.3.1 - 1301.1.3 - 701.1 Electricity: Basic Concepts and Phenomena,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Transient Photoinduced Pb2+ Disproportionation for Exciton Self-Trapping and Broadband Emission in Low-Dimensional Lead Halide Perovskites,2.02411E+13,,"Zhang, Yao (1, 3); Zhu, Leilei (2); Yang, Zhaoxia (4, 6); Tao, Weijian (1); Chen, Zeng (1); Li, Tianjing (1, 3); Lei, Haixin (1, 3); Li, Congzhou (5); Wang, Lin (5); Tian, Wenming (4); Li, Zhenyu (2, 7); Shang, Honghui (2); Zhu, Haiming (1, 3) ","(1) State Key Laboratory of Modern Optical Instrument, Key Laboratory of Excited-State Materials of Zhejiang Province, Department of Chemistry, Zhejiang University, Zhejiang, Hangzhou; 310027, China (2) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Anhui, Hefei; 230026, China (3) ZJU-Hangzhou Global Scientific and Technological Innovation Center, Zhejiang, Hangzhou; 311200, China (4) State Key Laboratory of Molecular Reaction Dynamics, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Liaoning, Dalian; 116023, China (5) Key Laboratory of Flexible Electronics and Institute of Advanced Materials, School of Physical and Mathematical Sciences, Nanjing Tech University, Jiangsu, Nanjing; 211816, China (6) University of Chinese Academy of Sciences, Beijing; 100049, China (7) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China ","Li, Zhenyu(zyli@ustc.edu.cn); Shang, Honghui(shh@ustc.edu.cn); Zhu, Haiming(hmzhu@zju.edu.cn)",Journal of the American Chemical Society,J. Am. Chem. Soc.,,American Chemical Society,146,11,7831-7838,2024-03-20,,,2024,English,27863,15205126,,10.1021/jacs.4c01115,,,,,,JACSAT,Journal article (JA),"Low-dimensional lead halide perovskites with broadband emission hold great promise for single-component white-light-emitting (WLE) devices. The origin of their broadband emission has been commonly attributed to self-trapped excitons (STEs) composed of localized electronic polarization with a distorted lattice. Unfortunately, the exact electronic and structural nature of the STE species in these WLE materials remains elusive, hindering the rational design of high-efficiency WLE materials. In this study, by combining ultrafast transient absorption spectroscopy and ab initio calculations, we uncover surprisingly similar STE features in two prototypical low dimensional WLE perovskite single crystals: 1D (DMEDA)PbBr4 and 2D (EDBE)PbBr4, despite of their different dimensionalities. Photoexcited excitons rapidly localize to intrinsic STEs within ∼250 fs, contributing to the white light emission. Crucially, STEs in both systems exhibit characteristic absorption features akin to those of Pb+ and Pb3+. Further atomic level theoretical simulations confirm photoexcited electrons and holes are localized on the Pb2+ site to form Pb+- and Pb3+-like species, resembling transient photoinduced Pb2+ disproportionation. This study provides conclusive evidence on the key excited state species for exciton self-trapping and broadband emission in low dimensional lead halide WLE perovskites and paves the way for the rational design of high-efficiency WLE materials. © 2024 American Chemical Society",57,Lead compounds,Absorption spectroscopy - Efficiency - Excited states - Excitons - Light emission - Perovskite - Single crystals,Broadband emission - Disproportionations - Halide perovskites - Light emitting materials - Localised - Low dimensional - Photo-induced - Self trapped excitons - Self-trapping - White light-emitting,482.2 Minerals - 741.1 Light/Optics - 913.1 Production Engineering - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 933.1 Crystalline Solids,"Number: 22273084,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; ","We are thankful for the financial support from the National Natural Science Foundation of China (22273084, T2222026). This work is supported by the National Supercomputing Center in Jinan and the open fund of the state key laboratory of molecular reaction dynamics in DICP, CAS. We also thank Zhiqi Liu from Shiyanjia Lab ( www.shiyanjia.com ) for tests of PL, PLE, and PLQY.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
"The electron-phonon renormalization in the electronic structure calculation: Fundamentals, current status, and challenges",2.02317E+13,,"Shang, Honghui (1); Yang, Jinlong (2) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (2) Hefei National Laboratory for Physical Sciences at Microscale, Department of Chemical Physics, Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Anhui, Hefei; 230026, China ","Yang, Jinlong(jlyang@ustc.edu.cn)",Journal of Chemical Physics,J Chem Phys,,American Institute of Physics Inc.,158,13,,2023-04-07,,,2023,English,219606,10897690,,10.1063/5.0140724,130901,,,,,JCPSA6,Journal article (JA),"Electron-phonon (e-ph) interaction plays a crucial role in determining many physical properties of the materials, such as the superconducting transition temperature, the relaxation time and mean free path of hot carriers, the temperature dependence of the electronic structure, and the formation of the vibrational polaritons. In the past two decades, the calculations of e-ph properties from first-principles has become possible. In particular, the renormalization of electronic structures due to e-ph interaction can be evaluated, providing greater insight into the quantum zero-point motion effect and the temperature dependence behavior. In this perspective, we briefly overview the basic theory, outline the computational challenges, and describe the recent progress in this field, as well as future directions and opportunities of the e-ph coupling calculations. © 2023 Author(s).",113,Electron-phonon interactions,Computation theory - Electronic structure - Superconducting transition temperature - Temperature distribution,Current status - Electron phonon - Electronic structure calculations - Electronic.structure - Fundamental current - Hot-carriers - Mean-free path - Polaritons - Renormalization - Temperature dependence,"641.1 Thermodynamics - 701.1 Electricity: Basic Concepts and Phenomena - 708.3 Superconducting Materials - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics - 933 Solid State Physics","Number: 22003073,22288201,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Grant Nos. 22003073, T2222026, and 22288201). H.S. would like to thank Professor Matthias Scheffler, Professor Yi Luo, Professor Patrick Rinke, Dr. Gabriel Antonius, and Professor Samuel Poncé for inspiring discussions.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Portable and Scalable All-Electron Quantum Perturbation Simulations on Exascale Supercomputers,2.0235E+13,,"Wu, Zhikun (1); Wu, Yangjun (1); Liu, Ying (1); Shang, Honghui (2); Gao, Yingxiang (3); Zhang, Zhongcheng (1); Zhang, Yuyang (1); Long, Yingchi (1); Feng, Xiaobing (1); Cui, Huimin (1) ","(1) University of Chinese Academy of Sciences, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (2) University of Science and Technology of China, Hefei, China (3) National Supercomputer Center in Tianjin, Tianjin, China ","Liu, Ying(liuying2007@ict.ac.cn); Shang, Honghui(shanghui.ustc@gmail.com)","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023","Proc. Int. Conf. for High Perform. Compu., Netw., Storage Anal., SC",ACM's Special Interest Group on High Performance Computing (SIGHPC); Association for Computing Machinery; IEEE s Technical Committee on High Performance Computing (TCHPC); Institute of Electrical and Electronics Engineers (IEEE) Computer Society,"Association for Computing Machinery, Inc",,,,2023-11-12,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",1 of 1,2023,English,,,9.7984E+12,10.1145/3581784.3607085,40,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023","November 12, 2023 - November 17, 2023","Denver, CO, United states",194664,,Conference article (CA),"Quantum perturbation theory is pivotal in determining the critical physical properties of materials. The first-principles computations of these properties have yielded profound and quantitative insights in diverse domains of chemistry and physics. In this work, we propose a portable and scalable OpenCL implementation for quantum perturbation theory, which can be generalized across various high-performance computing (HPC) systems. Optimal portability is realized through the utilization of a cross-platform unified interface and a collection of performance-portable heterogeneous optimizations. Exceptional scalability is attained by addressing major constraints on memory and communication, employing a locality-enhancing task mapping strategy and a packed hierarchical collective communication scheme. Experiments on two advanced supercomputers demonstrate that our implementation exhibits remarkably performance on various material systems, scaling the system to 200,000 atoms with all-electron precision. This research enables all-electron quantum perturbation simulations on substantially larger molecular scales, with a potentially significant impact on progress in material sciences. © 2023 ACM.",38,Scalability,Computation theory - Electrons - Perturbation techniques - Quantum theory - Supercomputers,All-electron - Exascale - First-principle computations - Heterogeneous many cores - Heterogeneous many-core supercomputer - Performance - Perturbation theory - Physical properties of materials - Property - Quantum perturbation theory,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 921 Mathematics - 931.4 Quantum Theory; Quantum Mechanics - 961 Systems Science","Number: E361010, Acronym: -, Sponsor: -; Number: 22003073,62090024,62232015,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2021ZD0110101, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","This work was supported by the National Key R&D Program of China (2021ZD0110101), the National Natural Science Foundation of China (T2222026, 22003073, 62232015, 62090024), and the Innovation Funding of ICT CAS (E361010).",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
